TIMESLICE,YEAR,VALUE
ID,2022,0.1667
IN,2022,0.0833
SD,2022,0.1667
SN,2022,0.0833
WD,2022,0.3333
WN,2022,0.1667
ID,2023,0.1667
IN,2023,0.0833
SD,2023,0.1667
SN,2023,0.0833
WD,2023,0.3333
WN,2023,0.1667
ID,2024,0.1667
IN,2024,0.0833
SD,2024,0.1667
SN,2024,0.0833
WD,2024,0.3333
WN,2024,0.1667
ID,2025,0.1667
IN,2025,0.0833
SD,2025,0.1667
SN,2025,0.0833
WD,2025,0.3333
WN,2025,0.1667
ID,2026,0.1667
IN,2026,0.0833
SD,2026,0.1667
SN,2026,0.0833
WD,2026,0.3333
WN,2026,0.1667
ID,2027,0.1667
IN,2027,0.0833
SD,2027,0.1667
SN,2027,0.0833
WD,2027,0.3333
WN,2027,0.1667
ID,2028,0.1667
IN,2028,0.0833
SD,2028,0.1667
SN,2028,0.0833
WD,2028,0.3333
WN,2028,0.1667
ID,2029,0.1667
IN,2029,0.0833
SD,2029,0.1667
SN,2029,0.0833
WD,2029,0.3333
WN,2029,0.1667
ID,2030,0.1667
IN,2030,0.0833
SD,2030,0.1667
SN,2030,0.0833
WD,2030,0.3333
WN,2030,0.1667
